EpisodeID,Event_ID,State,Year,Month,Event_Type,Begin_Date_Time,Timezone,End_Date_Time,Injuries_Direct,Injuries_Indirect,Deaths_Direct,Deaths_Indirect,Damage_Property,Property_Cost,Damage_Crops,Crop_Cost,Begin_Lat,Begin_Lon,End_Lat,End_Lon,Episode_Narrative,Event_Narrative
78671,473492.0,NEW HAMPSHIRE,2013.0,October,Strong Wind,10/07/2013 18:30,EST-5,10/07/2013 18:30,0.0,0.0,0.0,0.0,3.00K,3000.0,0.00K,0.0,,,,,"A warm front moved northward across southern New England Sunday night (Oct 6) into Monday (Oct 7) creating a warm, moist, unstable atmosphere over the region.  Monday afternoon and evening (Oct 7) a strong cold front brought a line of strong to severe showers and storms through southern New England.  Strong, damaging winds occurred both with the storms and in the tight pressure gradient ahead of the front.",A tree on Harbor Avenue was downed.
80774,483506.0,NEW HAMPSHIRE,2013.0,November,High Wind,11/24/2013 14:45,EST-5,11/24/2013 14:50,0.0,0.0,0.0,0.0,5.00K,5000.0,0.00K,0.0,,,,,"Strong pressure rises behind a cold front coupled with cold air advection resulted in strong to damaging winds across much of southern New England. Most of the damage was to trees, some of which were still at least partially leaved.","The Automated Surface Observing System at Manchester-Boston Regional Airport (KMHT) recorded a wind gust of 53 mph.  Higher gusts are estimated to have occurred elsewhere in eastern Hillsborough County.  In Nashua, a tree was downed at the intersection of East Dunstable Road and Shelley Drive."
70071,420683.0,NEW HAMPSHIRE,2013.0,January,Strong Wind,1/20/2013 15:00,EST-5,1/20/2013 15:00,0.0,0.0,0.0,0.0,10.00K,10000.0,0.00K,0.0,,,,,"A cold front moved across Southern New England, resulting in strong cold air advection and gusty winds.",Trees and wires were downed on Longview and North Roads in Hancock.  Trees and wires were downed on Union Street and on Greenfield Road in Peterborough.
75073,453907.0,KANSAS,2013.0,June,Thunderstorm Wind,6/15/2013 14:50,CST-6,6/15/2013 14:50,0.0,0.0,0.0,0.0,0.50K,500.0,0.00K,0.0,38.91,-94.63,38.91,-94.63,"A very unstable airmass across extreme eastern Kansas, led to severe thunderstorm development, during the afternoon hours of June, 15, 2013. Damaging winds were observed with these storms.","Trees and power lines were reported down, with thunderstorm wind gusts estimated up to 60 mph."
75073,453909.0,KANSAS,2013.0,June,Thunderstorm Wind,6/15/2013 13:58,CST-6,6/15/2013 13:58,0.0,0.0,0.0,0.0,0.10K,100.0,0.00K,0.0,38.53,-94.87,38.53,-94.87,"A very unstable airmass across extreme eastern Kansas, led to severe thunderstorm development, during the afternoon hours of June, 15, 2013. Damaging winds were observed with these storms.","Thunderstorm wind gusts were estimated up to 60 mph, with a small shed reported blown over."
75472,455688.0,ILLINOIS,2013.0,April,Flood,4/19/2013 2:00,CST-6,4/30/2013 23:59,0.0,0.0,0.0,0.0,5.00K,5000.0,10.00K,10000.0,39.9827,-90.5177,39.993,-90.5328,"Heavy spring rain caused several rivers in Illinois to hit major flood levels. The Illinois River, Kaskaskia River, La Moine River, and the Mississippi all hit major flood levels at various locations. The Mississippi River and the Illinois River all remained above flood stage into May. The Illinois River at La Grange set a new record reaching 34.50 feet on April 27th.",The Illinois River At La Grange set a new record reaching 34.50 feet on April 27th. The river remained above flood stage into May. Agriculture lowland damage was the only know damage.
75472,455691.0,ILLINOIS,2013.0,April,Flood,4/16/2013 8:40,CST-6,4/30/2013 23:59,0.0,0.0,0.0,0.0,5.00K,5000.0,20.00K,20000.0,39.3999,-90.6072,39.3942,-90.6812,"Heavy spring rain caused several rivers in Illinois to hit major flood levels. The Illinois River, Kaskaskia River, La Moine River, and the Mississippi all hit major flood levels at various locations. The Mississippi River and the Illinois River all remained above flood stage into May. The Illinois River at La Grange set a new record reaching 34.50 feet on April 27th.","The Illinois River hit major flood levels all along the border of Calhoun County. The river crested at Hardin, IL on April 26th at 36.34 feet but remained over flood stage into May.|Agricultural damage was the only know damage. Damage estimates were not available."
75472,456680.0,ILLINOIS,2013.0,April,Flood,4/19/2013 3:15,CST-6,4/30/2013 23:59,0.0,0.0,0.0,0.0,5.00K,5000.0,20.00K,20000.0,39.5454,-90.5699,39.5424,-90.6015,"Heavy spring rain caused several rivers in Illinois to hit major flood levels. The Illinois River, Kaskaskia River, La Moine River, and the Mississippi all hit major flood levels at various locations. The Mississippi River and the Illinois River all remained above flood stage into May. The Illinois River at La Grange set a new record reaching 34.50 feet on April 27th.","The Illinois River hit major flood levels along the border of Greene County. The river crested around the 27th, but remained at major flood levels into May."
75472,456682.0,ILLINOIS,2013.0,April,Flood,4/19/2013 3:15,CST-6,4/30/2013 23:59,0.0,0.0,0.0,0.0,5.00K,5000.0,20.00K,20000.0,39.1559,-90.6096,39.1568,-90.6249,"Heavy spring rain caused several rivers in Illinois to hit major flood levels. The Illinois River, Kaskaskia River, La Moine River, and the Mississippi all hit major flood levels at various locations. The Mississippi River and the Illinois River all remained above flood stage into May. The Illinois River at La Grange set a new record reaching 34.50 feet on April 27th.","The Illinois River hit major flood levels along the border of Jersey County. The river crested around the 27th, but remained at major flood levels into May."
76346,460451.0,MARYLAND,2013.0,June,Tornado,6/13/2013 14:38,EST-5,6/13/2013 14:59,0.0,0.0,0.0,0.0,1.00K,1000.0,5.00K,5000.0,39.08,-77.32,39.108,-76.947,"A cold front stalled across the Mid Atlantic and low pressure formed and moved along it. Southerly flow advected gulf moisture into the region and showers and thunderstorms easily formed. Heavy rain, hail, damaging winds and tornadoes occurred throughout the day.","From eyewitness accounts, radar imagery and a ground survey concluded a long track EF-0 tornado occurred in Montgomery County MD on the afternoon of June 13, 2013.  Peak winds were estimated at 75 mph.  Damage was almost entirely from downed trees.  In that regard numerous homes and a few parked vehicles were damaged by trees falling onto them.  ||First damage was noted near the Bretton Woods golf course along River Road.  Damage continued along Bonnie Dale Drive and Glenhurst Ct where several trees were downed in the community.  Also, near the intersection of Turkey Foot Road and Jones Lane in southwest Montgomery County near North Potomac MD a few large trees were over the road.  The tornado raced east at nearly 60 mph to the northern section of Rockville MD.  At least 14 homes were significantly damaged by uprooted trees.  As it continued east to the Norbeck and Aspen Hill area 30 trees were uprooted in the Manor County Golf Club as well as numerous homes damaged in the surrounding communiteis from tree damage.  Tree damage was noted along the intercounty connector route 200 at the Layhill Road exit.  Finally a few trees were downed in Spencerville and Burtonsville.||Additionally there was a parallel 7 miles path of damage through South Rockville and Glenmont MD with similar tree damage.  This area was found to be straight line winds from the outflow just south of the tornado from the parent supercell storm."
75601,456365.0,MICHIGAN,2013.0,May,Thunderstorm Wind,5/30/2013 14:40,EST-5,5/30/2013 14:40,0.0,0.0,0.0,0.0,10.00K,10000.0,0.00K,0.0,43.0,-82.45,43.0,-82.45,Several severe thunderstorms developed with good afternoon instability.,"Trees reported down, along with damage to houses."
75601,456368.0,MICHIGAN,2013.0,May,Thunderstorm Wind,5/30/2013 16:33,EST-5,5/30/2013 16:33,0.0,0.0,0.0,0.0,5.00K,5000.0,0.00K,0.0,43.12,-83.7,43.12,-83.7,Several severe thunderstorms developed with good afternoon instability.,"Three trees reported blown down, one of which fell onto a house."
78081,470256.0,MARYLAND,2013.0,July,Tornado,7/22/2013 23:12,EST-5,7/22/2013 23:13,0.0,0.0,0.0,0.0,3.00K,3000.0,2.00K,2000.0,39.628,-76.182,39.632,-76.169,A surface trough was over the area while an upper level disturbance moved overhead. Showers and thunderstorms produced heavy rainfall as they moved eastward towards the I-95 corridor.,"The tornado initially touched down in the 1300 block of Stafford Road where a pole barn was destroyed and a nearby house had exterior damage including removal of a window, siding and insulation.  The tornado then traveled on an east-northeast path along Stafford Road where numerous trees were topped and snapped and numerous crops were damaged along a convergent path in a cornfield.  The tornado lifted in the 1100 block of Stafford Road."
75624,456619.0,NEW YORK,2013.0,May,Hail,5/22/2013 14:46,EST-5,5/22/2013 14:46,0.0,0.0,0.0,0.0,5.00K,5000.0,0.00K,0.0,43.26,-76.65,43.26,-76.65,"With a warm and moist airmass in place over the region, thunderstorms developed along lake breezes during the afternoon and evening.  The persistent storms were prolific hail producers���not only in size but quantity. At times it was reported the hail completely covered the ground. The largest stones approached two inches, however most of the hail exceeded one-inch in diameter.  Hail was reported near Lake Bluff, Port Bay, Red Creek, Victory, Martville, West Monroe and Hastings, to name a few. While most of the severe reports were of large hail, a few storms did produce damaging winds with trees and wires reported down near Ira, Victory, Phoenix, Wellsville, Adams Center and Batavia.",
