--- Summary Report ---

Data Summary for Event_Type per State:
              Event_Type                State  Count
   Astronomical Low Tide               ALASKA      1
   Astronomical Low Tide             DELAWARE      2
   Astronomical Low Tide            LOUISIANA      9
   Astronomical Low Tide           NEW JERSEY      8
   Astronomical Low Tide         PENNSYLVANIA      4
   Astronomical Low Tide                TEXAS      2
               Avalanche           CALIFORNIA      2
               Avalanche             COLORADO     13
               Avalanche                IDAHO      1
               Avalanche              MONTANA      1
               Avalanche                 UTAH      3
               Avalanche           WASHINGTON      3
               Avalanche              WYOMING      6
                Blizzard               ALASKA     68
                Blizzard             COLORADO     14
                Blizzard          CONNECTICUT      8
                Blizzard                IDAHO      3
                Blizzard             ILLINOIS      3
                Blizzard                 IOWA      5
                Blizzard               KANSAS     17
                Blizzard                MAINE     11
                Blizzard        MASSACHUSETTS     15
                Blizzard             MICHIGAN      5
                Blizzard            MINNESOTA     60
                Blizzard              MONTANA     15
                Blizzard             NEBRASKA     45
                Blizzard               NEVADA      1
                Blizzard        NEW HAMPSHIRE      4
                Blizzard           NEW MEXICO      5
                Blizzard             NEW YORK      4
                Blizzard         NORTH DAKOTA    156
                Blizzard             OKLAHOMA      4
                Blizzard         RHODE ISLAND      4
                Blizzard         SOUTH DAKOTA     50
                Blizzard                TEXAS     36
                Blizzard                 UTAH      2
                Blizzard              WYOMING      7
           Coastal Flood               ALASKA     12
           Coastal Flood           CALIFORNIA      1
           Coastal Flood          CONNECTICUT      2
           Coastal Flood             DELAWARE      5
           Coastal Flood              GEORGIA      1
           Coastal Flood            LOUISIANA      2
           Coastal Flood                MAINE      4
           Coastal Flood        MASSACHUSETTS     15
           Coastal Flood        NEW HAMPSHIRE      1
           Coastal Flood           NEW JERSEY     20
           Coastal Flood             NEW YORK     14
           Coastal Flood       NORTH CAROLINA      1
           Coastal Flood          PUERTO RICO      2
           Coastal Flood       SOUTH CAROLINA      8
           Coastal Flood                TEXAS      3
           Coastal Flood             VIRGINIA      4
         Cold/Wind Chill               ALASKA      1
         Cold/Wind Chill              ARIZONA      6
         Cold/Wind Chill          CONNECTICUT      2
         Cold/Wind Chill             ILLINOIS     16
         Cold/Wind Chill                 IOWA     16
         Cold/Wind Chill        MASSACHUSETTS      4
         Cold/Wind Chill             MICHIGAN     19
         Cold/Wind Chill            MINNESOTA      4
         Cold/Wind Chill             MISSOURI      1
         Cold/Wind Chill              MONTANA     14
         Cold/Wind Chill             NEBRASKA     50
         Cold/Wind Chill           NEW JERSEY      1
         Cold/Wind Chill           NEW MEXICO      1
         Cold/Wind Chill             NEW YORK     31
         Cold/Wind Chill                 OHIO      1
         Cold/Wind Chill             OKLAHOMA     31
         Cold/Wind Chill         PENNSYLVANIA      3
         Cold/Wind Chill         SOUTH DAKOTA      6
         Cold/Wind Chill                TEXAS    168
         Cold/Wind Chill                 UTAH      1
         Cold/Wind Chill              VERMONT      5
         Cold/Wind Chill           WASHINGTON      1
         Cold/Wind Chill        WEST VIRGINIA      4
         Cold/Wind Chill            WISCONSIN      3
             Debris Flow              ARIZONA      1
             Debris Flow           CALIFORNIA      4
             Debris Flow             COLORADO     16
             Debris Flow              FLORIDA      1
             Debris Flow               HAWAII      4
             Debris Flow              MONTANA      2
             Debris Flow               NEVADA      1
             Debris Flow       NORTH CAROLINA     12
             Debris Flow         PENNSYLVANIA      1
             Debris Flow                 UTAH     16
             Debris Flow             VIRGINIA      1
             Debris Flow           WASHINGTON     12
               Dense Fog              ALABAMA      1
               Dense Fog             ARKANSAS      1
               Dense Fog           CALIFORNIA     52
               Dense Fog             COLORADO     24
               Dense Fog             DELAWARE      4
               Dense Fog DISTRICT OF COLUMBIA      2
               Dense Fog              GEORGIA      1
               Dense Fog             ILLINOIS     74
               Dense Fog              INDIANA      7
               Dense Fog                 IOWA      1
               Dense Fog             KENTUCKY     42
               Dense Fog             MARYLAND     62
               Dense Fog             MICHIGAN      2
               Dense Fog             MISSOURI     38
               Dense Fog              MONTANA      1
               Dense Fog           NEW JERSEY     24
               Dense Fog             NEW YORK      6
               Dense Fog                 OHIO      1
               Dense Fog             OKLAHOMA      4
               Dense Fog         PENNSYLVANIA     13
               Dense Fog                TEXAS     39
               Dense Fog                 UTAH      7
               Dense Fog             VIRGINIA    150
               Dense Fog        WEST VIRGINIA     28
               Dense Fog            WISCONSIN     22
             Dense Smoke           CALIFORNIA      3
                 Drought              ALABAMA     38
                 Drought              ARIZONA     28
                 Drought             ARKANSAS    144
                 Drought             COLORADO    218
                 Drought               HAWAII    106
                 Drought             ILLINOIS     54
                 Drought                 IOWA    109
                 Drought               KANSAS    240
                 Drought             KENTUCKY      8
                 Drought            LOUISIANA     30
                 Drought            MINNESOTA     63
                 Drought          MISSISSIPPI      6
                 Drought             MISSOURI    148
                 Drought             NEBRASKA    688
                 Drought           NEW MEXICO    514
                 Drought             OKLAHOMA    133
                 Drought         SOUTH DAKOTA     55
                 Drought                TEXAS   1647
                 Drought                 UTAH     63
                 Drought            WISCONSIN     65
              Dust Devil              ARIZONA      2
              Dust Devil           CALIFORNIA      1
              Dust Devil               HAWAII      1
              Dust Devil                IDAHO      1
              Dust Devil              MONTANA      1
              Dust Devil               NEVADA      1
              Dust Devil           NEW MEXICO      2
              Dust Devil             VIRGINIA      1
              Dust Storm              ARIZONA     22
              Dust Storm           CALIFORNIA      8
              Dust Storm             COLORADO      4
              Dust Storm                IDAHO      2
              Dust Storm               KANSAS      6
              Dust Storm               NEVADA      2
              Dust Storm           NEW MEXICO      8
              Dust Storm                TEXAS     12
              Dust Storm           WASHINGTON      3
          Excessive Heat              ARIZONA     44
          Excessive Heat             ARKANSAS      4
          Excessive Heat           CALIFORNIA     16
          Excessive Heat          CONNECTICUT      2
          Excessive Heat             DELAWARE      3
          Excessive Heat DISTRICT OF COLUMBIA      1
          Excessive Heat             ILLINOIS      1
          Excessive Heat             MARYLAND      7
          Excessive Heat            MINNESOTA     30
          Excessive Heat               NEVADA      5
          Excessive Heat           NEW JERSEY     24
          Excessive Heat             NEW YORK     10
          Excessive Heat             OKLAHOMA     31
          Excessive Heat         PENNSYLVANIA     17
          Excessive Heat                TEXAS      1
