Event_Type,Property_Cost
Winter Weather,0.0
Heavy Snow,0.0
Heavy Snow,0.0
Strong Wind,3000.0
Heavy Snow,0.0
Heavy Snow,0.0
High Wind,5000.0
Heavy Snow,0.0
High Wind,0.0
Strong Wind,10000.0
Blizzard,0.0
Hail,0.0
Flood,0.0
Thunderstorm Wind,500.0
Thunderstorm Wind,100.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Drought,0.0
Drought,0.0
High Surf,0.0
High Surf,0.0
High Surf,0.0
Winter Storm,0.0
Heavy Snow,0.0
Drought,0.0
Flood,5000.0
Flood,5000.0
Flood,5000.0
Flood,5000.0
High Wind,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
High Wind,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Drought,0.0
Flash Flood,0.0
Flash Flood,0.0
Tornado,1000.0
Flash Flood,0.0
Flash Flood,0.0
Flash Flood,0.0
Thunderstorm Wind,10000.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Hail,0.0
Hail,0.0
Winter Weather,0.0
Dense Fog,0.0
Dense Fog,0.0
Dense Fog,0.0
Dense Fog,0.0
Dense Fog,0.0
Dense Fog,0.0
Hail,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Thunderstorm Wind,0.0
Hail,0.0
Debris Flow,0.0
Excessive Heat,0.0
Excessive Heat,0.0
Excessive Heat,0.0
Excessive Heat,0.0
Tornado,3000.0
Thunderstorm Wind,0.0
Hail,0.0
Hail,5000.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,5000.0
Hail,0.0
Hail,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,500.0
Thunderstorm Wind,20000.0
Thunderstorm Wind,2000.0
Thunderstorm Wind,5000.0
Hail,0.0
Drought,0.0
Drought,0.0
Drought,0.0
Thunderstorm Wind,20000.0
Thunderstorm Wind,30000.0
Hail,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Hail,0.0
Thunderstorm Wind,8000.0
Thunderstorm Wind,3000.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,15000.0
Thunderstorm Wind,55000.0
Drought,0.0
Drought,0.0
Drought,0.0
Drought,0.0
Drought,0.0
Thunderstorm Wind,10000.0
Cold/Wind Chill,0.0
Cold/Wind Chill,0.0
Cold/Wind Chill,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,10000.0
Hail,5000.0
Thunderstorm Wind,20000.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Hail,0.0
Hail,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Winter Storm,5000.0
Winter Storm,5000.0
Winter Storm,5000.0
Drought,0.0
Lake-Effect Snow,8000.0
Lake-Effect Snow,10000.0
Ice Storm,250000.0
High Wind,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
Thunderstorm Wind,2000.0
Thunderstorm Wind,500.0
Thunderstorm Wind,4000.0
Flood,10000.0
Flood,5000.0
Flood,1000.0
Flood,1000.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Storm,0.0
Winter Storm,0.0
Winter Storm,0.0
Winter Storm,0.0
Winter Storm,0.0
Hail,0.0
Hail,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
Marine High Wind,0.0
Winter Storm,0.0
Heavy Rain,0.0
Hail,0.0
Hail,0.0
Tornado,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
High Wind,0.0
High Wind,0.0
High Wind,0.0
High Wind,5000.0
High Wind,0.0
High Wind,0.0
Strong Wind,5000.0
High Wind,5000.0
Funnel Cloud,0.0
Thunderstorm Wind,2000.0
Drought,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Rip Current,0.0
Thunderstorm Wind,50000.0
Thunderstorm Wind,2000.0
Thunderstorm Wind,10000.0
Heavy Snow,0.0
Heavy Snow,0.0
Heavy Snow,0.0
High Wind,0.0
Heavy Snow,0.0
Heavy Snow,0.0
Heavy Snow,0.0
Heavy Snow,0.0
Heavy Snow,0.0
Heavy Snow,0.0
Thunderstorm Wind,0.0
Flash Flood,0.0
Flash Flood,0.0
Flood,0.0
Thunderstorm Wind,2000.0
Thunderstorm Wind,1000.0
Flash Flood,0.0
Flash Flood,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Thunderstorm Wind,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Thunderstorm Wind,20000.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Flash Flood,50000.0
Flood,5000.0
Flood,10000.0
Flash Flood,50000.0
Flash Flood,25000.0
Flash Flood,75000.0
Flash Flood,0.0
Flash Flood,100000.0
Flash Flood,100000.0
Thunderstorm Wind,5000.0
Flood,15000.0
Thunderstorm Wind,4000.0
Flash Flood,10000.0
Flash Flood,10000.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Thunderstorm Wind,0.0
Hail,0.0
Hail,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,1000.0
Thunderstorm Wind,0.0
Hail,0.0
Thunderstorm Wind,0.0
Excessive Heat,0.0
Excessive Heat,0.0
Excessive Heat,0.0
Flash Flood,0.0
Heavy Rain,0.0
Flash Flood,0.0
Flash Flood,0.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,1000.0
Marine Thunderstorm Wind,0.0
Thunderstorm Wind,10000.0
Thunderstorm Wind,2000.0
Hail,0.0
Hail,0.0
Hail,0.0
Thunderstorm Wind,3000.0
Drought,0.0
Drought,0.0
Flash Flood,0.0
Flash Flood,25000.0
Flash Flood,200000.0
Flash Flood,125000.0
Thunderstorm Wind,2000.0
Heavy Snow,0.0
Heavy Snow,0.0
Heavy Snow,0.0
Heavy Snow,0.0
Winter Weather,0.0
Thunderstorm Wind,0.0
Hail,10000.0
Thunderstorm Wind,10000.0
Thunderstorm Wind,0.0
Thunderstorm Wind,10000.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Thunderstorm Wind,10000.0
Flash Flood,0.0
Hail,5000.0
Hail,5000.0
Hail,5000.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Flash Flood,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,1000.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,1000.0
Thunderstorm Wind,5000.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Flash Flood,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Flash Flood,3000.0
Flash Flood,10000.0
Flash Flood,5000.0
Flash Flood,1000.0
Flash Flood,5000.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Hail,0.0
Thunderstorm Wind,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,2500.0
Hail,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Thunderstorm Wind,5000.0
Hail,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,20000.0
Thunderstorm Wind,20000.0
Thunderstorm Wind,30000.0
Hail,0.0
Thunderstorm Wind,500.0
Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Drought,0.0
Hail,5000.0
Hail,5000.0
Hail,0.0
Waterspout,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Thunderstorm Wind,1500.0
Thunderstorm Wind,45000.0
Thunderstorm Wind,4000.0
Thunderstorm Wind,7000.0
Hail,0.0
Hail,0.0
Hail,0.0
Thunderstorm Wind,0.0
Hail,0.0
Hail,0.0
Frost/Freeze,0.0
Frost/Freeze,0.0
Frost/Freeze,0.0
Frost/Freeze,0.0
Winter Weather,0.0
Winter Weather,0.0
Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Flash Flood,0.0
Thunderstorm Wind,100000.0
Thunderstorm Wind,0.0
Drought,0.0
Drought,0.0
Drought,0.0
High Wind,0.0
High Wind,0.0
High Wind,0.0
High Wind,0.0
High Wind,0.0
High Wind,0.0
High Wind,0.0
Winter Storm,0.0
Ice Storm,0.0
Ice Storm,0.0
Ice Storm,0.0
Ice Storm,0.0
Thunderstorm Wind,1000.0
Heavy Snow,0.0
Heavy Snow,0.0
Heavy Snow,0.0
High Wind,0.0
Winter Storm,0.0
Flood,0.0
Flood,0.0
Flood,3000.0
Flood,1000.0
Flood,1000.0
Flood,1000.0
Flood,2000.0
Flood,0.0
Flood,0.0
Winter Storm,0.0
Winter Storm,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
High Wind,0.0
Tornado,0.0
High Wind,0.0
High Wind,0.0
Winter Storm,0.0
Winter Weather,0.0
High Wind,0.0
High Wind,0.0
High Wind,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Weather,0.0
Winter Storm,0.0
High Wind,0.0
Drought,0.0
Drought,0.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,50.0
Drought,0.0
Lake-Effect Snow,8000.0
Lake-Effect Snow,7000.0
Lake-Effect Snow,8000.0
Lake-Effect Snow,12000.0
Winter Storm,0.0
Winter Storm,0.0
Flash Flood,0.0
Flash Flood,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,10000.0
Thunderstorm Wind,15000.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,15000.0
Thunderstorm Wind,20000.0
Thunderstorm Wind,25000.0
Thunderstorm Wind,10000.0
Thunderstorm Wind,10000.0
Thunderstorm Wind,35000.0
Thunderstorm Wind,10000.0
Thunderstorm Wind,30000.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,2500.0
Flash Flood,25000.0
Thunderstorm Wind,10000.0
Thunderstorm Wind,15000.0
Thunderstorm Wind,15000.0
Flash Flood,75000.0
Flash Flood,5000.0
Thunderstorm Wind,25000.0
Thunderstorm Wind,10000.0
Thunderstorm Wind,20000.0
Thunderstorm Wind,25000.0
High Wind,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Flood,0.0
Hail,0.0
Thunderstorm Wind,500.0
Hail,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,15000.0
Hail,0.0
Hail,0.0
Flood,0.0
Thunderstorm Wind,5000.0
Flood,0.0
Thunderstorm Wind,10000.0
Thunderstorm Wind,10000.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Strong Wind,5000.0
Tornado,20000.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,100000.0
Excessive Heat,0.0
Excessive Heat,0.0
Excessive Heat,0.0
Thunderstorm Wind,10000.0
Flash Flood,1000000.0
Hail,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Flash Flood,0.0
Hail,0.0
Thunderstorm Wind,2000.0
Thunderstorm Wind,1000.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Drought,0.0
Drought,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,70000.0
High Surf,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Thunderstorm Wind,5000.0
High Wind,0.0
High Wind,0.0
Flash Flood,0.0
Hail,0.0
Thunderstorm Wind,0.0
Thunderstorm Wind,0.0
Flash Flood,0.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,1000.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,5000.0
Thunderstorm Wind,5000.0
Hail,0.0
Hail,0.0
Hail,0.0
Hail,0.0
Cold/Wind Chill,0.0
Cold/Wind Chill,0.0
Thunderstorm Wind,1000.0
Thunderstorm Wind,1000.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Marine Thunderstorm Wind,0.0
Flash Flood,0.0
Flash Flood,0.0
